# id\tfrequencyRank\tlevel\tword\ttranslation\thint\tpronunciation\tpartOfSpeech
1	1	BASE	the	определённый артикль	Used before a noun when the listener knows which person or thing is meant.	/ðə; ðiː/	article
2	2	BASE	of	из; о; от	Links an intransitive verb, or a transitive verb and its subject (especially verbs to do with thinking, feeling, expressing etc.), with its subject-matter; concerning, with regard…	/ɒv/	preposition
3	3	BASE	and	и; а	(now, colloquial, or, literary) Used to connect more than two elements together in a chain, sometimes to stress the number of elements.	/and/	conjunction
4	4	BASE	in	в; внутри	Contained by; inside.	/ɘn/	preposition
5	5	BASE	be	быть; находиться	To exist, occur, or have a particular state or quality.	/biː/	verb
6	5	BASE	was	был; была; было	The first- and third-person singular past form of be.	/wɒz/	verb
7	6	BASE	is	есть; является	The third-person singular present form of be.	/ɪz/	verb
8	7	BASE	for	для; за; в течение	Towards; in the direction of.	/foː(ɹ)/	preposition
9	8	BASE	as	как; в качестве	Introducing a basis of comparison, with an object in the objective case.	/æz/	preposition
10	9	BASE	on	на; включённый	Touching or supported by a surface; also operating or active.	/ɒn/	preposition
11	10	BASE	with	с; вместе с	Against.	/wəð/	preposition
12	11	BASE	by	у; посредством	Near or next to.	/baɪ/	preposition
13	12	BASE	he	он	(personal, sometimes, _, proscribed, see usage notes) They; he or she (a person whose gender is unknown or irrelevant).	/(h)i/	pronoun
14	13	BASE	at	в; у; на	In, near, or in the general vicinity of (a particular place).	/æt/	preposition
15	14	BASE	from	из; от; с	With reference to the location or position of a speaker or other observer or vantage point.	/fɹɒm/	preposition
16	15	BASE	his	его; свой	Belonging to him. [from 8th c.]	/hɪz/	determiner
17	17	BASE	were	были; был	The plural and second-person singular past form of be.	/wɜːr/	verb
18	18	BASE	are	есть; являются	The present plural and second-person singular form of be.	/ɑːr/	verb
19	19	BASE	which	который; какой	(interrogative) What, of those mentioned or implied.	/wɪt͡ʃ/	determiner
20	22	BASE	also	также; тоже	(conjunctive, focus) In addition; besides; as well; further; too. [from 14th c.]	/ˈɑl.soʊ/	adv
21	23	BASE	or	или; либо	Used to connect alternatives or possibilities.	/ɔːr/	conjunction
22	26	BASE	first	первый; сначала	Before anything else; firstly.	/fɔːst/	adv
23	27	BASE	one	один; единица	The number 1, or a single person or thing.	/wʌn/	numeral
24	28	BASE	their	их	Belonging to, from, of, or relating to, them (plural).	/d̪ʱa/	determiner
25	29	BASE	its	его; её (о предмете)	Belonging to it. [from 16th c.]	/ɪts/	determiner
26	30	BASE	after	после	(Irish, Newfoundland, usually, preceded by a form of be, followed by an -ing form of a verb) Used to indicate recent completion of an activity.	/ˈaftə(ɹ)/	preposition
27	31	BASE	new	новый	Of recent origin; having taken place recently.	/njuː/	adj
28	32	BASE	who	кто; который	Asks which person, or introduces a clause about a person.	/huː/	pronoun
29	33	BASE	they	они	(the third-person plural nominative) A group of entities previously mentioned. [since 13th c.]	/ðeɪ/	pronoun
30	34	BASE	two	два	The digit/figure 2.	/tu/	n
31	35	BASE	her	её; ей	The form of she used after a preposition, as the object of a verb, or (colloquial) as a subject with a conjunction; that woman, that ship, etc, or (dialect) as a subject without a…	/heː/	pronoun
32	36	BASE	she	она	(personal) The female (typically) person or animal previously mentioned or implied.	/ʃi/	pronoun
33	38	BASE	other	другой	See other (determiner) below.	/ʊðə/	adj
34	39	BASE	when	когда	At (or as soon as) that time that; at the (or any and every) time that; if.	/wɛn/	conjunction
35	40	BASE	time	время; раз	(uncountable) The inevitable progression into the future with the passing of present and past events.	/taɪm/	n
36	41	BASE	during	во время	For all of a given time interval; throughout; in; pending.	/ˈd(j)ɜɹɪŋ/	preposition
37	42	BASE	there	там; вот; есть; туда	(as complement of 'be') In existence in some place.	/ðeə/	adv
38	43	BASE	into	внутрь; в	To or towards the inside of.	/ˈɪn.tiː/	preposition
39	44	BASE	school	школа	(North America) An institution dedicated to teaching and learning; an educational institution.	/(ɪ)ˈsk(ʰ)ul/	n
40	45	BASE	more	больше; ещё	Used to form the comparative form of adjectives and adverbs. [from 13thc.]	/mo(ː)ɹ/	adv
41	45	BASE	can	мочь; уметь	Expresses ability or possibility.	/kæn/	modal verb
42	46	BASE	may	мочь; возможно	Expresses possibility or permission.	/meɪ/	modal verb
43	48	BASE	over	над; через; более	On top of; in such a way as to cover.	/aʊæ/	preposition
44	49	BASE	only	только; единственный	But, except; but in fact.	/(w)ɵnˈli/	conjunction
45	50	BASE	year	год	The length of a year as marked by a calendar, 365 or 366 days in the Gregorian calendar; a calendar year.	/jir/	n
46	51	BASE	most	большинство; самый	Forms the superlative of many adjectives.	/ˈmoʊst/	adv
47	53	BASE	world	мир	(with "the" or a plural possessive pronoun) The subjective human experience, regarded collectively; human collective existence; existence in general; the reality we live in.	/wɜɹld/	n
48	54	BASE	city	город	A large settlement, bigger than a town; sometimes with a specific legal definition, depending on the place.	/sɪtɪ/	n
49	55	BASE	will	будет; намереваться	Expresses the future, willingness, or intention.	/wɪl/	modal verb
50	55	BASE	some	немного; несколько; некоторый; некий	(stressed) A nonzero, unspecified proportion of (a bounded set of countable things): at least two.	/sɐm/	determiner
51	56	BASE	where	где; куда	In what situation.	/weə/	adv
52	57	BASE	between	между	In the position or interval that separates (two things), or intermediate in quantity or degree. (See Usage notes below.)	/biˈtwin/	preposition
53	58	BASE	later	позже	Afterward in time (used with than when comparing with another time).	/ˈleɪ.tə/	adv
54	59	BASE	three	три	A numerical value after two and before four. Represented in Arabic digits as 3; this many dots (•••).	/fɹiː/	numeral
55	60	BASE	state	состояние; штат; государство	(computing) The set of all parameters relevant to a computation.	/steɪt/	n
56	61	BASE	such	такой	(demonstrative) Like this, that, these, those; used to make a comparison with something implied by context.	/sɛt͡ʃ/	determiner
57	62	BASE	then	тогда; затем	(temporal location) At that time.	/ðen/	adv
58	63	BASE	national	народный; гражданин; национальный; государственный	Pertaining to a nation or country, especially as a whole; affecting, shared by, or existing throughout all of a nation. [from 16th c.]	/ˈnaʃ.(ə).n(ə)l/	adj
59	64	BASE	used	использовал; использованный	That is or has or have been used.	/just/	adj
60	66	BASE	known	известный	Identified as a specific type; famous, renowned.	/noʊn/	adj
61	67	BASE	under	под; менее	Beneath; below; at or to the bottom of, or the area covered or surmounted by.	/ˈʊndə/	preposition
62	68	BASE	many	много; многие	before a countable noun: A large, indefinite number of.	/ˈmæni/	determiner
63	69	BASE	university	университет	Institution of higher education (typically accepting students from the age of about 17 or 18, depending on country, but in some exceptional cases able to take younger students) whe…	/junɪˈvɜːsəti/	n
64	70	BASE	united	общий; совместный; соединённый; объединённый	Joined into a single entity.	/juˈnaɪtɪd/	adj
65	71	BASE	while	пока; в то время как	During the same time that.	/waɪl/	conjunction
66	72	BASE	part	часть	(intransitive) To leave the company of.	/pæɹt/	v
67	73	BASE	season	сезон; время года	One of the four periods of the year, or a regular period for an activity.	/ˈsiːzən/	noun
68	74	BASE	team	команда	A set of draught animals, such as two horses in front of a carriage.	/tiːm/	n
69	75	BASE	these	эти	plural of this	/ðiz/	determiner
70	77	BASE	than	чем; неже; нежели	Introduces a comparison, and is associated with comparatives, and with words such as more, less, and fewer. Typically, it seeks to measure the force of an adjective or similar desc…	/ðæn/	preposition
71	78	BASE	film	фильм	A thin layer of some substance; a pellicle; a membranous covering, causing opacity.	/fɪlm/	n
72	79	BASE	second	второй; секунда	A unit of time historically and commonly defined as a sixtieth of a minute which the International System of Units more precisely defines as the duration of 9,192,631,770 periods o…	/ˈsɛk.(ə)nd/	n
73	80	BASE	born	рождённый; родившийся; урождённый	Having from birth (or as if from birth) a certain quality or character; innate; inherited.	/boɹn/	adj
74	81	BASE	south	юг; зюйд; южный; полдень	The direction towards the pole to the right-hand side of someone facing east, specifically 180°, or (on another celestial object) the direction towards the pole lying on the southe…	/saʊt̪/	n
75	84	BASE	war	война; борьба; воевать; вести война|войну	(uncountable) Organized, large-scale, armed conflict between countries or between national, ethnic, or other sizeable groups, usually but not always involving active engagement of…	/wɑ(r)/<a:father-bother>	n
76	85	BASE	through	через; сквозь	From one side of (an opening) to the other.	/θɹu/	preposition
77	86	BASE	being	тварь; бытие; создание; творение	A living creature.	/ˈbiŋ/	n
78	87	BASE	including	включая	Such as, among which; introducing one or more parts of the group or topic just mentioned.	/ɪnˈkluːdɪŋ/	preposition
79	88	BASE	both	оба; обе; и... и...	Each of the two; one and the other; referring to two individuals or items.	/boʊlθ/	determiner
80	89	BASE	before	до; перед	Earlier than (in time).	/biˈfɔɹ/	preposition
81	90	BASE	north	север; северный; норд; полночь	The direction towards the pole to the left-hand side of someone facing east, specifically 0°, or (on another celestial object) the direction towards the pole lying on the northern…	/noɹt/	n
82	91	BASE	high	высокий; высоко	Extending a long way above the ground or above an average level.	/haɪ/	adjective
83	92	BASE	however	однако	(conjunctive) Nevertheless; yet, still; in spite of that.	/haʊˈɛvə/	adv
84	93	BASE	people	люди; народ	a body of persons considered generally or collectively; a group of two or more persons.	/-ɐl/	n
85	94	BASE	family	семья	A nuclear family: a mother and father who are married and cohabiting and their child or children.	/ˈfæ.m(ə.)li/	n
86	95	BASE	early	рано; ранний	At a time in advance of the usual or expected event.	/ˈɜɹli/	adj
87	96	BASE	history	история; прошлое; летопись; история болезни	The aggregate of past events.	/ˈhəs.tə.ɹi/	n
88	97	BASE	album	альбом	A book specially designed to keep photographs, stamps, or autographs.	/ˈælbəm/	n
89	98	BASE	area	площадь; край; район; область	(mathematics) A measure of the extent of a surface; it is measured in square units.	/ˈerɪjɑ/	n
90	99	BASE	them	им; их; они	Used as the direct object of a verb.	/ˈðəm/	pronoun
91	100	BASE	series	серия; ряд; шоу; сериал	A number of things that follow on one after the other or are connected one after the other.	/ˈsiɹiz/	n
92	101	BASE	against	против	In a contrary direction to.	/əˈɡeɪnst/	preposition
93	102	BASE	until	до; пока не; не раньше; до тех пор, пока не	Before (a time).	/ənˈtɪl/	preposition
94	103	BASE	since	с; так как; поскольку; потому что	From the time that.	/sɪn(t)s/	conjunction
95	104	BASE	district	район; область; дистрикт; округ	An administrative division of an area.	/ˈdiːstɹɪkt/	n
96	105	BASE	county	графство; уезд; округ	(historical) The land ruled by a count or a countess.	/ˈkaʊn(t)i/	n
97	106	BASE	name	имя; название	(ditransitive) To give a name to.	/neɪm/	v
98	107	BASE	work	работа; работать	(transitive) To work or operate in a certain place, area, or speciality.	/(w)ɵrk/<a:backing after W>	v
99	108	BASE	life	жизнь	(uncountable) The state of organisms preceding their death, characterized by biological processes such as metabolism and reproduction and distinguishing them from inanimate objects…	/laɪf/	n
100	109	BASE	group	группа	A number of things or persons being in some relation to one another.	/ɡɹuːp/	n
101	110	BASE	music	музыка	A series of sounds organized in time, usually employing some combination of harmony, melody, rhythm, tempo, etc., often to convey a mood.	/ˈmjuzɪk/	n
102	111	BASE	following	попутный; следующий; аудитория; фолловинг	Coming next, either in sequence or in time.	/ˈfɑloʊɪŋ/	adj
103	112	BASE	number	число; номер	(countable) An abstract entity used to describe quantity.	/ˈnʌmbər/	n
104	113	BASE	company	компания	A group of individuals who work together for a common purpose.	/kəmp(ə)ˈni/	n
105	114	BASE	several	некоторый; несколько; различный	Consisting of a number more than one (especially, more than two) but not very many. [from 17th c.]	/ˈsɛv(ə)ɹəl/	determiner
106	115	BASE	four	четыре; четвёрка; четырёхлетка; четырёхлетнее	(countable) The digit or figure 4; an occurrence thereof.	/fo(ː)r/	n
107	119	BASE	career	карьер; карьера; поприще; призвание	One’s calling in life; one's working occupation or profession, especially when pursued seriously and/or over a long period of time.	/kəˈrɪjə(r)/	n
108	120	BASE	league	лига; лье; льё; союз	A group or association of cooperating members.	/liːɡ/	n
109	121	BASE	game	игра	A playful activity that may be unstructured; an amusement or pastime.	/ɡeɪm/	n
